<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2019.01.28,15:00:00,28.52,29.14,28.50,28.66,100,0,0
2019.01.29,15:00:00,28.56,28.83,28.47,28.64,100,0,0
2019.01.30,15:00:00,28.60,28.79,28.32,28.42,100,0,0
2019.01.31,15:00:00,28.45,29.29,28.45,29.21,100,0,0
2019.02.01,15:00:00,29.21,29.43,28.88,29.30,100,0,0
2019.02.11,15:00:00,29.10,29.53,28.90,29.39,100,0,0
2019.02.12,15:00:00,29.39,29.58,28.98,29.32,100,0,0
2019.02.13,15:00:00,29.32,30.04,29.12,29.84,100,0,0
2019.02.14,15:00:00,29.65,30.10,29.49,29.86,100,0,0
2019.02.15,15:00:00,29.74,29.85,28.91,29.15,100,0,0
2019.02.18,15:00:00,29.35,29.99,29.35,29.87,100,0,0
2019.02.19,15:00:00,29.86,30.63,29.72,29.88,100,0,0
2019.02.20,15:00:00,30.27,30.44,29.98,30.15,100,0,0
2019.02.21,15:00:00,30.18,30.64,29.84,30.08,100,0,0
2019.02.22,15:00:00,30.07,30.64,29.80,30.63,100,0,0
2019.02.25,15:00:00,31.00,32.90,30.97,32.52,100,0,0
2019.02.26,15:00:00,32.29,33.00,31.32,31.49,100,0,0
2019.02.27,15:00:00,31.70,32.32,31.40,31.71,100,0,0
2019.02.28,15:00:00,31.70,32.10,31.45,31.74,100,0,0
2019.03.01,15:00:00,32.05,32.93,31.65,32.90,100,0,0
2019.03.04,15:00:00,33.00,33.79,32.50,32.69,100,0,0
2019.03.05,15:00:00,32.86,32.86,32.10,32.35,100,0,0
2019.03.06,15:00:00,32.31,32.61,31.78,32.22,100,0,0
2019.03.07,15:00:00,32.01,32.10,30.97,31.30,100,0,0
2019.03.08,15:00:00,30.74,31.21,30.36,30.78,100,0,0
2019.03.11,15:00:00,30.57,30.83,30.18,30.53,100,0,0
2019.03.12,15:00:00,30.91,31.33,30.45,30.66,100,0,0
2019.03.13,15:00:00,30.79,31.32,30.25,31.04,100,0,0
2019.03.14,15:00:00,30.98,31.90,30.90,31.45,100,0,0
2019.03.15,15:00:00,31.42,31.95,31.20,31.67,100,0,0
2019.03.18,15:00:00,31.79,32.56,31.59,32.36,100,0,0
2019.03.19,15:00:00,32.40,32.62,31.93,32.03,100,0,0
2019.03.20,15:00:00,31.88,32.47,31.70,32.27,100,0,0
2019.03.21,15:00:00,32.13,32.40,31.92,31.98,100,0,0
2019.03.22,15:00:00,32.08,32.38,31.71,32.35,100,0,0
2019.03.25,15:00:00,32.00,32.10,31.10,31.17,100,0,0
2019.03.26,15:00:00,31.59,31.65,31.21,31.49,100,0,0
2019.03.27,15:00:00,31.69,32.54,31.45,32.40,100,0,0
2019.03.28,15:00:00,32.17,32.65,31.95,32.52,100,0,0
2019.03.29,15:00:00,32.52,34.32,32.41,33.92,100,0,0
2019.04.01,15:00:00,34.20,35.05,33.90,34.08,100,0,0
2019.04.02,15:00:00,34.10,34.59,34.09,34.49,100,0,0
2019.04.03,15:00:00,34.40,34.95,34.31,34.86,100,0,0
2019.04.04,15:00:00,34.90,36.05,34.90,35.59,100,0,0
2019.04.08,15:00:00,35.70,36.27,35.65,35.93,100,0,0
2019.04.09,15:00:00,35.90,35.91,35.06,35.23,100,0,0
2019.04.10,15:00:00,35.05,35.43,34.52,35.07,100,0,0
2019.04.11,15:00:00,35.19,35.65,34.72,34.96,100,0,0
2019.04.12,15:00:00,34.86,35.00,34.60,34.80,100,0,0
2019.04.15,15:00:00,35.42,36.22,34.82,34.82,100,0,0
2019.04.16,15:00:00,34.70,36.10,34.60,36.00,100,0,0
2019.04.17,15:00:00,35.89,36.48,35.63,35.83,100,0,0
2019.04.18,15:00:00,35.80,35.80,35.13,35.50,100,0,0
2019.04.19,15:00:00,35.60,36.45,35.58,36.00,100,0,0
2019.04.22,15:00:00,35.80,36.15,34.40,34.80,100,0,0
2019.04.23,15:00:00,34.70,35.59,34.67,35.23,100,0,0
2019.04.24,15:00:00,35.53,35.90,34.82,35.80,100,0,0
2019.04.25,15:00:00,35.35,35.86,35.28,35.43,100,0,0
2019.04.26,15:00:00,35.16,35.20,34.34,34.36,100,0,0
2019.04.29,15:00:00,34.57,35.73,34.42,35.33,100,0,0
2019.04.30,15:00:00,34.57,34.90,33.85,34.45,100,0,0
2019.05.06,15:00:00,33.20,34.05,32.88,33.91,100,0,0
2019.05.07,15:00:00,34.18,34.18,33.36,33.71,100,0,0
2019.05.08,15:00:00,33.30,33.58,33.00,33.13,100,0,0
2019.05.09,15:00:00,33.00,33.25,32.02,32.42,100,0,0
2019.05.10,15:00:00,32.86,33.80,32.86,33.61,100,0,0
2019.05.13,15:00:00,33.05,33.29,32.63,32.80,100,0,0
2019.05.14,15:00:00,32.30,33.20,32.29,32.56,100,0,0
2019.05.15,15:00:00,33.00,33.85,32.79,33.63,100,0,0
2019.05.16,15:00:00,33.63,33.94,33.41,33.67,100,0,0
2019.05.17,15:00:00,33.70,33.80,32.97,33.31,100,0,0
2019.05.20,15:00:00,33.30,33.79,32.82,33.28,100,0,0
2019.05.21,15:00:00,33.29,34.10,33.14,33.63,100,0,0
2019.05.22,15:00:00,33.63,33.85,33.30,33.53,100,0,0
2019.05.23,15:00:00,33.31,33.60,32.95,33.35,100,0,0
2019.05.24,15:00:00,33.58,34.13,33.39,33.60,100,0,0
2019.05.27,15:00:00,33.48,33.95,32.80,33.78,100,0,0
2019.05.28,15:00:00,33.75,34.60,33.62,34.38,100,0,0
2019.05.29,15:00:00,33.91,34.69,33.85,34.25,100,0,0
2019.05.30,15:00:00,34.41,34.51,33.86,34.30,100,0,0
2019.05.31,15:00:00,34.20,34.70,34.01,34.21,100,0,0
2019.06.03,15:00:00,34.25,34.65,33.88,34.40,100,0,0
2019.06.04,15:00:00,34.40,34.41,33.76,34.03,100,0,0
2019.06.05,15:00:00,34.33,34.46,33.92,33.95,100,0,0
2019.06.06,15:00:00,34.13,34.13,33.38,33.90,100,0,0
2019.06.10,15:00:00,34.03,34.90,34.01,34.74,100,0,0
2019.06.11,15:00:00,34.74,35.54,34.74,35.42,100,0,0
2019.06.12,15:00:00,35.39,35.51,35.05,35.33,100,0,0
2019.06.13,15:00:00,35.33,35.50,34.88,35.25,100,0,0
2019.06.14,15:00:00,35.33,35.57,35.18,35.35,100,0,0
2019.06.17,15:00:00,35.30,35.98,35.26,35.60,100,0,0
2019.06.18,15:00:00,35.70,36.02,35.51,36.02,100,0,0
2019.06.19,15:00:00,36.99,37.30,36.57,36.80,100,0,0
2019.06.20,15:00:00,36.86,38.48,36.86,38.38,100,0,0
2019.06.21,15:00:00,38.38,38.50,37.50,37.69,100,0,0
2019.06.24,15:00:00,37.52,37.99,37.48,37.96,100,0,0
2019.06.25,15:00:00,37.51,37.51,34.75,36.13,100,0,0
2019.06.26,15:00:00,35.07,35.93,35.02,35.47,100,0,0
2019.06.27,15:00:00,35.88,36.56,35.75,36.45,100,0,0
2019.06.28,15:00:00,36.35,36.53,35.84,35.98,100,0,0
2019.07.01,15:00:00,36.75,37.23,36.70,36.90,100,0,0
2019.07.02,15:00:00,36.92,36.92,36.30,36.52,100,0,0
2019.07.03,15:00:00,36.39,36.49,36.06,36.15,100,0,0
2019.07.04,15:00:00,36.37,36.44,36.01,36.08,100,0,0
2019.07.05,15:00:00,36.20,36.63,36.00,36.47,100,0,0
2019.07.08,15:00:00,36.08,36.20,35.36,35.56,100,0,0
2019.07.09,15:00:00,35.58,35.70,35.20,35.29,100,0,0
2019.07.10,15:00:00,35.60,35.65,34.98,35.12,100,0,0
2019.07.11,15:00:00,35.46,36.06,35.31,35.90,100,0,0
2019.07.12,15:00:00,35.18,35.60,35.02,35.40,100,0,0
2019.07.15,15:00:00,35.01,35.68,34.50,35.30,100,0,0
