<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2019.02.11,15:00:00,43.79,45.42,43.47,44.96,100,0,0
2019.02.12,15:00:00,44.95,47.25,44.57,46.76,100,0,0
2019.02.13,15:00:00,46.77,51.57,46.25,51.23,100,0,0
2019.02.14,15:00:00,51.07,51.58,49.67,50.67,100,0,0
2019.02.15,15:00:00,50.65,52.05,49.57,50.52,100,0,0
2019.02.18,15:00:00,50.97,55.62,50.92,55.60,100,0,0
2019.02.19,15:00:00,55.67,60.67,54.67,57.47,100,0,0
2019.02.20,15:00:00,57.29,60.11,56.44,59.18,100,0,0
2019.02.21,15:00:00,58.70,63.67,58.70,61.06,100,0,0
2019.02.22,15:00:00,61.17,67.30,59.27,67.30,100,0,0
2019.02.25,15:00:00,73.67,74.16,71.18,74.16,100,0,0
2019.02.26,15:00:00,79.45,81.71,76.27,76.48,100,0,0
2019.02.27,15:00:00,75.67,78.37,71.87,75.12,100,0,0
2019.02.28,15:00:00,75.17,75.97,68.73,74.37,100,0,0
2019.03.01,15:00:00,75.07,81.53,73.74,79.67,100,0,0
2019.03.04,15:00:00,80.67,86.86,77.65,81.20,100,0,0
2019.03.05,15:00:00,78.53,82.35,77.79,81.64,100,0,0
2019.03.06,15:00:00,80.17,87.27,80.06,86.17,100,0,0
2019.03.07,15:00:00,84.67,90.86,82.19,84.89,100,0,0
2019.03.08,15:00:00,78.67,85.66,77.85,80.57,100,0,0
2019.03.11,15:00:00,79.55,82.65,76.23,80.99,100,0,0
2019.03.12,15:00:00,81.37,89.22,80.77,89.22,100,0,0
2019.03.13,15:00:00,91.67,95.03,85.37,86.67,100,0,0
2019.03.14,15:00:00,83.69,86.82,78.04,81.57,100,0,0
2019.03.15,15:00:00,83.47,84.17,80.95,82.13,100,0,0
2019.03.18,15:00:00,81.65,88.14,79.97,87.47,100,0,0
2019.03.19,15:00:00,87.45,88.17,84.56,84.97,100,0,0
2019.03.20,15:00:00,84.26,88.27,83.37,87.15,100,0,0
2019.03.21,15:00:00,87.07,96.00,85.68,95.67,100,0,0
2019.03.22,15:00:00,97.67,98.74,92.00,94.70,100,0,0
2019.03.25,15:00:00,91.55,97.15,90.66,91.88,100,0,0
2019.03.26,15:00:00,93.47,96.47,91.56,95.08,100,0,0
2019.03.27,15:00:00,95.67,97.42,88.68,93.58,100,0,0
2019.03.28,15:00:00,91.82,95.36,89.57,89.92,100,0,0
2019.03.29,15:00:00,90.15,99.00,88.45,99.00,100,0,0
2019.04.01,15:00:00,103.72,108.99,103.15,108.99,100,0,0
2019.04.02,15:00:00,112.15,119.97,109.15,110.96,100,0,0
2019.04.03,15:00:00,111.89,122.14,111.89,122.14,100,0,0
2019.04.04,15:00:00,124.15,125.34,115.15,118.23,100,0,0
2019.04.08,15:00:00,120.95,130.14,118.95,130.14,100,0,0
2019.04.09,15:00:00,125.15,133.71,124.15,126.95,100,0,0
2019.04.10,15:00:00,115.15,118.64,114.17,114.17,100,0,0
2019.04.11,15:00:00,113.15,113.52,106.15,109.81,100,0,0
2019.04.12,15:00:00,110.85,113.52,108.03,110.46,100,0,0
2019.04.15,15:00:00,113.95,114.14,100.46,103.05,100,0,0
2019.04.16,15:00:00,102.69,108.64,101.95,107.43,100,0,0
2019.04.17,15:00:00,106.35,108.48,103.80,105.57,100,0,0
2019.04.18,15:00:00,105.15,107.90,102.15,104.15,100,0,0
