<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2019.01.15,15:00:00,171.00,183.12,170.00,183.00,100,0,0
2019.01.16,15:00:00,183.08,188.30,180.50,184.94,100,0,0
2019.01.17,15:00:00,185.90,188.50,183.50,185.80,100,0,0
2019.01.18,15:00:00,186.29,194.44,186.29,193.35,100,0,0
2019.01.21,15:00:00,193.35,195.89,190.50,191.50,100,0,0
2019.01.22,15:00:00,191.81,191.81,186.38,187.51,100,0,0
2019.01.23,15:00:00,186.49,189.40,186.02,188.50,100,0,0
2019.01.24,15:00:00,188.38,190.50,182.00,189.20,100,0,0
2019.01.25,15:00:00,187.80,191.85,187.18,190.00,100,0,0
2019.01.28,15:00:00,190.00,192.97,184.80,187.00,100,0,0
2019.01.29,15:00:00,185.20,189.68,185.19,186.88,100,0,0
2019.01.30,15:00:00,186.46,189.28,183.33,184.18,100,0,0
2019.01.31,15:00:00,185.08,186.99,183.38,185.87,100,0,0
2019.02.01,15:00:00,186.00,195.80,186.00,194.69,100,0,0
2019.02.11,15:00:00,193.77,204.87,193.70,202.23,100,0,0
2019.02.12,15:00:00,201.64,207.74,201.11,206.85,100,0,0
2019.02.13,15:00:00,207.99,213.88,206.61,212.00,100,0,0
2019.02.14,15:00:00,210.10,213.00,208.52,210.14,100,0,0
2019.02.15,15:00:00,211.29,212.99,206.04,206.84,100,0,0
2019.02.18,15:00:00,208.50,218.00,208.50,216.49,100,0,0
2019.02.19,15:00:00,216.40,218.66,209.11,209.70,100,0,0
2019.02.20,15:00:00,210.40,213.00,206.01,208.74,100,0,0
2019.02.21,15:00:00,208.50,211.87,205.50,205.50,100,0,0
2019.02.22,15:00:00,205.41,226.05,205.30,226.05,100,0,0
2019.03.07,15:00:00,248.66,248.66,248.66,248.66,100,0,0
2019.03.08,15:00:00,273.53,273.53,273.53,273.53,100,0,0
2019.03.11,15:00:00,288.22,290.00,260.00,285.46,100,0,0
2019.03.12,15:00:00,282.01,288.00,275.40,278.99,100,0,0
2019.03.13,15:00:00,278.50,278.60,265.51,271.92,100,0,0
2019.03.14,15:00:00,274.00,284.49,271.99,280.00,100,0,0
2019.03.15,15:00:00,279.97,292.90,275.00,288.99,100,0,0
2019.03.18,15:00:00,288.57,302.80,288.50,302.00,100,0,0
2019.03.19,15:00:00,297.95,299.99,291.40,293.99,100,0,0
2019.03.20,15:00:00,292.00,293.00,283.03,288.75,100,0,0
2019.03.21,15:00:00,288.19,297.26,285.98,295.20,100,0,0
2019.03.22,15:00:00,292.10,298.63,286.00,295.30,100,0,0
2019.03.25,15:00:00,289.00,303.33,288.02,291.30,100,0,0
2019.03.26,15:00:00,291.58,296.70,283.10,284.90,100,0,0
2019.03.27,15:00:00,300.17,309.80,296.18,306.52,100,0,0
2019.03.28,15:00:00,304.00,311.94,302.70,306.99,100,0,0
2019.03.29,15:00:00,305.93,319.00,305.08,316.99,100,0,0
2019.04.01,15:00:00,314.00,324.90,314.00,323.09,100,0,0
2019.04.02,15:00:00,324.00,324.00,309.02,311.12,100,0,0
2019.04.03,15:00:00,311.00,314.00,305.00,309.29,100,0,0
2019.04.04,15:00:00,308.99,311.00,304.50,308.49,100,0,0
2019.04.08,15:00:00,308.49,311.89,304.11,307.88,100,0,0
2019.04.09,15:00:00,308.60,308.88,303.50,306.00,100,0,0
2019.04.10,15:00:00,307.14,316.27,303.80,313.49,100,0,0
2019.04.11,15:00:00,315.00,315.00,301.51,302.95,100,0,0
2019.04.12,15:00:00,301.32,304.87,295.00,297.51,100,0,0
2019.04.15,15:00:00,300.80,309.02,297.77,299.71,100,0,0
2019.04.16,15:00:00,299.64,303.43,295.06,303.38,100,0,0
2019.04.17,15:00:00,300.00,304.43,297.38,299.79,100,0,0
2019.04.18,15:00:00,302.10,310.00,300.00,309.51,100,0,0
2019.04.19,15:00:00,313.01,318.36,305.05,311.25,100,0,0
2019.04.22,15:00:00,311.00,311.20,299.10,299.80,100,0,0
2019.04.23,15:00:00,299.68,303.60,298.80,299.85,100,0,0
2019.04.24,15:00:00,301.00,304.90,298.50,304.00,100,0,0
2019.04.25,15:00:00,302.10,307.98,300.50,302.00,100,0,0
2019.04.26,15:00:00,300.38,305.98,296.56,303.20,100,0,0
2019.04.29,15:00:00,302.00,315.85,302.00,310.12,100,0,0
2019.04.30,15:00:00,310.12,313.08,302.21,304.01,100,0,0
2019.05.06,15:00:00,296.00,298.66,288.11,290.50,100,0,0
2019.05.07,15:00:00,291.02,300.87,291.02,295.21,100,0,0
2019.05.08,15:00:00,290.00,300.38,289.00,295.03,100,0,0
2019.05.09,15:00:00,295.00,299.48,280.12,281.03,100,0,0
2019.05.10,15:00:00,286.00,296.32,284.00,295.87,100,0,0
2019.05.13,15:00:00,294.17,301.50,293.63,297.30,100,0,0
2019.05.14,15:00:00,294.85,304.00,293.13,299.09,100,0,0
2019.05.15,15:00:00,301.53,311.16,301.34,310.38,100,0,0
2019.05.16,15:00:00,309.00,321.40,306.67,318.78,100,0,0
2019.05.17,15:00:00,316.96,317.00,304.68,306.50,100,0,0
2019.05.20,15:00:00,306.00,307.00,293.90,296.48,100,0,0
2019.05.21,15:00:00,297.05,305.80,294.00,305.80,100,0,0
