<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2019.01.28,15:00:00,56.00,58.55,55.50,57.47,100,0,0
2019.01.29,15:00:00,57.60,58.58,56.70,58.58,100,0,0
2019.01.30,15:00:00,58.39,59.17,57.20,57.28,100,0,0
2019.01.31,15:00:00,57.71,60.66,56.61,60.30,100,0,0
2019.02.01,15:00:00,60.80,61.36,60.22,61.18,100,0,0
2019.02.11,15:00:00,61.87,65.23,60.60,64.70,100,0,0
2019.02.12,15:00:00,64.85,66.77,64.30,64.75,100,0,0
2019.02.13,15:00:00,65.48,66.24,64.48,66.07,100,0,0
2019.02.14,15:00:00,65.95,68.30,65.59,67.96,100,0,0
2019.02.15,15:00:00,68.00,68.20,66.07,66.40,100,0,0
2019.02.18,15:00:00,67.10,69.90,67.10,69.87,100,0,0
2019.02.19,15:00:00,69.68,70.47,68.61,69.67,100,0,0
2019.02.20,15:00:00,69.50,70.48,67.80,69.01,100,0,0
2019.02.21,15:00:00,68.96,69.24,67.56,68.05,100,0,0
2019.02.22,15:00:00,67.39,68.50,66.80,68.50,100,0,0
2019.02.25,15:00:00,68.66,71.85,67.49,71.26,100,0,0
2019.02.26,15:00:00,70.96,71.00,68.80,68.92,100,0,0
2019.02.27,15:00:00,69.55,72.48,69.15,70.06,100,0,0
2019.02.28,15:00:00,69.80,72.60,68.51,71.50,100,0,0
2019.03.01,15:00:00,72.10,76.12,71.70,75.90,100,0,0
2019.03.04,15:00:00,76.59,79.50,75.51,77.25,100,0,0
2019.03.05,15:00:00,77.24,78.56,76.77,77.77,100,0,0
2019.03.06,15:00:00,77.25,77.40,76.00,76.99,100,0,0
2019.03.07,15:00:00,76.08,76.08,73.20,73.97,100,0,0
2019.03.08,15:00:00,71.74,74.38,71.01,71.44,100,0,0
2019.03.11,15:00:00,71.60,76.51,71.60,76.00,100,0,0
2019.03.12,15:00:00,75.88,77.15,74.77,75.30,100,0,0
2019.03.13,15:00:00,75.00,77.16,74.65,76.50,100,0,0
2019.03.14,15:00:00,76.90,78.99,75.72,77.15,100,0,0
2019.03.15,15:00:00,76.87,79.59,75.01,78.78,100,0,0
2019.03.18,15:00:00,78.68,86.66,78.50,86.66,100,0,0
2019.03.19,15:00:00,84.93,88.61,84.30,86.00,100,0,0
2019.03.20,15:00:00,85.00,88.18,84.40,85.70,100,0,0
2019.03.21,15:00:00,85.72,86.00,84.53,84.90,100,0,0
2019.03.22,15:00:00,84.55,86.62,84.01,86.05,100,0,0
2019.03.25,15:00:00,84.50,85.50,82.30,82.81,100,0,0
2019.03.26,15:00:00,83.20,85.67,83.17,84.47,100,0,0
2019.03.27,15:00:00,85.38,89.95,84.55,87.98,100,0,0
2019.03.28,15:00:00,89.80,91.89,88.01,90.30,100,0,0
2019.03.29,15:00:00,91.50,98.08,91.14,95.00,100,0,0
2019.04.01,15:00:00,95.00,97.46,94.00,96.57,100,0,0
2019.04.02,15:00:00,96.00,96.48,94.28,96.06,100,0,0
2019.04.03,15:00:00,94.61,97.01,94.61,95.40,100,0,0
2019.04.04,15:00:00,94.66,101.53,94.19,100.23,100,0,0
2019.04.08,15:00:00,104.65,105.39,100.01,102.00,100,0,0
2019.04.09,15:00:00,100.16,110.13,100.11,110.02,100,0,0
2019.04.10,15:00:00,106.00,110.03,103.00,107.00,100,0,0
2019.04.11,15:00:00,105.90,106.90,97.57,99.80,100,0,0
2019.04.12,15:00:00,97.90,100.30,97.00,99.62,100,0,0
2019.04.15,15:00:00,102.00,104.94,100.00,100.60,100,0,0
2019.04.16,15:00:00,98.60,102.23,97.06,102.21,100,0,0
2019.04.17,15:00:00,100.98,105.48,100.30,103.62,100,0,0
2019.04.18,15:00:00,103.32,104.50,101.80,102.34,100,0,0
2019.04.19,15:00:00,102.34,102.42,99.86,101.66,100,0,0
2019.04.22,15:00:00,101.00,103.90,100.50,101.13,100,0,0
2019.04.23,15:00:00,100.60,106.50,100.50,104.31,100,0,0
2019.04.24,15:00:00,105.00,106.50,101.00,103.50,100,0,0
2019.04.25,15:00:00,102.80,104.00,100.60,100.60,100,0,0
2019.04.26,15:00:00,99.90,103.50,99.90,102.27,100,0,0
2019.04.29,15:00:00,101.00,105.11,98.80,102.29,100,0,0
2019.04.30,15:00:00,102.00,104.50,101.00,102.36,100,0,0
2019.05.06,15:00:00,98.34,98.63,92.12,92.12,100,0,0
2019.05.07,15:00:00,93.30,96.97,93.30,95.96,100,0,0
2019.05.08,15:00:00,93.17,97.66,93.02,95.88,100,0,0
2019.05.09,15:00:00,94.90,95.88,90.02,91.81,100,0,0
2019.05.10,15:00:00,94.59,99.48,93.61,99.20,100,0,0
2019.05.13,15:00:00,99.00,104.30,97.00,103.60,100,0,0
2019.05.14,15:00:00,101.00,104.99,101.00,102.48,100,0,0
2019.05.15,15:00:00,104.20,110.50,103.16,109.90,100,0,0
2019.05.16,15:00:00,108.76,111.99,107.80,109.98,100,0,0
2019.05.17,15:00:00,109.02,110.98,104.99,106.46,100,0,0
2019.05.20,15:00:00,105.80,105.93,101.60,104.00,100,0,0
2019.05.21,15:00:00,104.01,106.18,101.90,104.20,100,0,0
2019.05.22,15:00:00,103.30,105.13,101.00,103.31,100,0,0
2019.05.23,15:00:00,102.22,103.00,99.33,99.83,100,0,0
2019.05.24,15:00:00,100.11,102.88,99.80,101.02,100,0,0
2019.05.27,15:00:00,101.50,102.65,98.50,102.00,100,0,0
2019.05.28,15:00:00,101.60,104.20,101.30,103.10,100,0,0
2019.05.29,15:00:00,101.98,105.22,101.60,104.55,100,0,0
2019.05.30,15:00:00,103.80,105.20,101.99,103.13,100,0,0
2019.05.31,15:00:00,103.40,103.40,101.03,101.25,100,0,0
2019.06.03,15:00:00,101.30,103.55,100.06,101.46,100,0,0
2019.06.04,15:00:00,102.38,102.50,98.63,99.19,100,0,0
2019.06.05,15:00:00,100.55,100.61,98.88,99.05,100,0,0
2019.06.06,15:00:00,97.98,98.77,96.66,97.29,100,0,0
2019.06.10,15:00:00,97.30,101.13,96.00,100.44,100,0,0
2019.06.11,15:00:00,101.16,109.52,100.68,108.95,100,0,0
2019.06.12,15:00:00,109.11,109.80,106.41,107.61,100,0,0
2019.06.13,15:00:00,108.02,108.15,105.15,106.80,100,0,0
2019.06.14,15:00:00,106.78,108.70,104.69,104.96,100,0,0
2019.06.17,15:00:00,104.96,106.24,102.11,103.70,100,0,0
2019.06.18,15:00:00,103.46,105.13,102.20,104.08,100,0,0
2019.06.19,15:00:00,107.78,108.20,105.86,105.90,100,0,0
2019.06.20,15:00:00,105.46,113.10,105.33,112.97,100,0,0
2019.06.21,15:00:00,112.06,113.88,111.20,112.98,100,0,0
2019.06.24,15:00:00,112.98,117.40,112.01,115.06,100,0,0
2019.06.25,15:00:00,115.06,116.57,112.00,114.90,100,0,0
2019.06.26,15:00:00,114.24,114.84,113.19,113.82,100,0,0
2019.06.27,15:00:00,114.51,118.47,114.51,117.30,100,0,0
2019.06.28,15:00:00,117.58,118.34,115.88,117.95,100,0,0
2019.07.01,15:00:00,121.18,126.00,121.05,126.00,100,0,0
2019.07.02,15:00:00,124.71,128.00,124.61,128.00,100,0,0
2019.07.03,15:00:00,127.00,130.29,122.14,123.91,100,0,0
2019.07.04,15:00:00,123.89,124.86,120.28,123.09,100,0,0
2019.07.05,15:00:00,123.50,130.18,123.00,129.81,100,0,0
2019.07.08,15:00:00,129.78,129.80,124.50,127.03,100,0,0
2019.07.09,15:00:00,126.72,128.80,124.50,126.00,100,0,0
2019.07.10,15:00:00,126.88,127.44,125.40,126.43,100,0,0
2019.07.11,15:00:00,127.45,127.92,122.83,123.50,100,0,0
2019.07.12,15:00:00,123.73,126.53,122.90,125.58,100,0,0
2019.07.15,15:00:00,124.02,125.46,121.50,125.09,100,0,0
2019.07.16,15:00:00,125.10,126.00,123.19,123.58,100,0,0
2019.07.17,15:00:00,123.50,124.74,122.50,123.60,100,0,0
2019.07.18,15:00:00,123.51,124.25,121.00,121.00,100,0,0
2019.07.19,15:00:00,122.00,123.88,121.10,122.14,100,0,0
2019.07.22,15:00:00,122.30,123.78,121.33,123.45,100,0,0
2019.07.23,15:00:00,123.70,123.78,118.68,120.05,100,0,0
2019.07.24,15:00:00,120.22,121.13,119.00,119.50,100,0,0
2019.07.25,15:00:00,119.30,121.77,116.20,121.68,100,0,0
2019.07.26,15:00:00,120.81,122.50,120.50,121.25,100,0,0
2019.07.29,15:00:00,121.50,124.18,120.93,123.75,100,0,0
2019.07.30,15:00:00,124.10,124.68,122.50,122.90,100,0,0
2019.07.31,15:00:00,122.20,123.10,120.28,120.71,100,0,0
2019.08.01,15:00:00,120.03,121.32,118.13,119.03,100,0,0
2019.08.02,15:00:00,116.31,118.65,116.02,118.12,100,0,0
2019.08.05,15:00:00,116.53,119.39,116.22,116.95,100,0,0
2019.08.06,15:00:00,116.80,121.80,114.30,121.28,100,0,0
2019.08.07,15:00:00,121.80,121.85,118.86,118.88,100,0,0
2019.08.08,15:00:00,119.49,121.61,119.26,120.52,100,0,0
2019.08.09,15:00:00,121.50,121.98,117.50,118.02,100,0,0
2019.08.12,15:00:00,120.99,123.20,119.01,122.84,100,0,0
2019.08.13,15:00:00,122.00,123.00,121.38,122.30,100,0,0
2019.08.14,15:00:00,124.20,127.00,123.51,125.85,100,0,0
2019.08.15,15:00:00,123.90,126.44,123.51,125.98,100,0,0
2019.08.16,15:00:00,126.50,129.00,125.40,126.30,100,0,0
2019.08.19,15:00:00,127.30,128.81,125.73,127.90,100,0,0
2019.08.20,15:00:00,128.00,130.22,127.70,129.59,100,0,0
2019.08.21,15:00:00,129.49,129.88,127.60,127.85,100,0,0
2019.08.22,15:00:00,128.34,131.00,127.86,130.50,100,0,0
2019.08.23,15:00:00,130.54,131.68,129.18,130.10,100,0,0
2019.08.26,15:00:00,127.90,129.00,126.60,127.42,100,0,0
2019.08.27,15:00:00,128.77,133.28,128.45,132.38,100,0,0
2019.08.28,15:00:00,133.20,136.55,131.70,133.92,100,0,0
2019.08.29,15:00:00,134.40,137.74,133.72,137.00,100,0,0
2019.08.30,15:00:00,138.05,143.10,138.03,141.01,100,0,0
2019.09.02,15:00:00,141.50,142.55,138.10,141.89,100,0,0
2019.09.03,15:00:00,142.00,142.79,139.40,141.50,100,0,0
2019.09.04,15:00:00,140.06,141.00,137.50,138.31,100,0,0
2019.09.05,15:00:00,138.28,140.24,137.80,138.90,100,0,0
2019.09.06,15:00:00,139.65,140.10,137.22,140.01,100,0,0
2019.09.09,15:00:00,140.06,140.73,138.60,139.20,100,0,0
2019.09.10,15:00:00,138.20,138.50,136.21,137.25,100,0,0
2019.09.11,15:00:00,135.00,135.60,128.68,129.26,100,0,0
2019.09.12,15:00:00,127.50,132.14,127.50,131.55,100,0,0
2019.09.16,15:00:00,130.47,131.80,129.10,130.92,100,0,0
2019.09.17,15:00:00,130.10,133.74,129.58,131.54,100,0,0
2019.09.18,15:00:00,132.10,135.92,132.01,135.56,100,0,0
2019.09.19,15:00:00,136.00,136.25,133.71,134.92,100,0,0
2019.09.20,15:00:00,135.50,137.52,135.50,136.84,100,0,0
2019.09.23,15:00:00,136.72,136.72,132.00,134.85,100,0,0
2019.09.24,15:00:00,134.25,137.72,134.25,136.51,100,0,0
2019.09.25,15:00:00,136.00,137.88,134.66,136.54,100,0,0
2019.09.26,15:00:00,136.97,137.62,133.35,134.10,100,0,0
2019.09.27,15:00:00,133.11,135.30,132.20,133.80,100,0,0
2019.09.30,15:00:00,133.00,133.95,129.50,129.80,100,0,0
2019.10.08,15:00:00,129.80,134.57,129.80,132.76,100,0,0
2019.10.09,15:00:00,133.00,133.09,130.70,131.81,100,0,0
2019.10.10,15:00:00,128.61,131.65,126.08,130.99,100,0,0
2019.10.11,15:00:00,131.50,132.65,129.00,131.25,100,0,0
2019.10.14,15:00:00,133.00,133.50,130.30,130.86,100,0,0
2019.10.15,15:00:00,131.00,133.53,130.00,132.69,100,0,0
2019.10.16,15:00:00,129.90,131.25,128.74,130.13,100,0,0
2019.10.17,15:00:00,131.00,131.13,129.75,130.30,100,0,0
2019.10.18,15:00:00,129.98,129.98,126.67,127.30,100,0,0
2019.10.21,15:00:00,127.30,128.50,126.13,128.12,100,0,0
2019.10.22,15:00:00,129.00,129.38,128.00,129.00,100,0,0
2019.10.23,15:00:00,129.00,130.08,127.02,127.32,100,0,0
2019.10.24,15:00:00,127.55,128.20,124.25,124.53,100,0,0
2019.10.25,15:00:00,125.15,128.50,124.42,128.20,100,0,0
2019.10.28,15:00:00,128.22,130.80,127.28,130.05,100,0,0
2019.10.29,15:00:00,131.00,132.65,130.26,131.50,100,0,0
2019.10.30,15:00:00,131.50,131.87,129.58,130.95,100,0,0
2019.10.31,15:00:00,135.66,136.00,131.71,132.08,100,0,0
2019.11.01,15:00:00,132.70,134.18,131.85,133.70,100,0,0
2019.11.04,15:00:00,133.90,135.85,133.84,133.99,100,0,0
2019.11.05,15:00:00,134.50,135.28,133.55,134.28,100,0,0
2019.11.06,15:00:00,134.98,134.98,132.51,132.63,100,0,0
2019.11.07,15:00:00,132.64,133.49,132.12,133.17,100,0,0
2019.11.08,15:00:00,134.30,136.63,134.00,134.59,100,0,0
2019.11.11,15:00:00,134.00,134.88,132.00,132.72,100,0,0
2019.11.12,15:00:00,133.10,133.85,132.19,133.37,100,0,0
2019.11.13,15:00:00,133.80,135.28,132.68,134.62,100,0,0
2019.11.14,15:00:00,134.65,135.50,133.68,134.55,100,0,0
2019.11.15,15:00:00,134.98,134.98,133.00,133.33,100,0,0
2019.11.18,15:00:00,133.42,134.09,132.50,133.00,100,0,0
2019.11.19,15:00:00,133.00,133.70,132.57,133.50,100,0,0
2019.11.20,15:00:00,133.00,135.56,132.80,134.00,100,0,0
2019.11.21,15:00:00,133.65,134.25,132.91,133.66,100,0,0
2019.11.22,15:00:00,133.37,134.07,128.05,128.97,100,0,0
2019.11.25,15:00:00,128.30,129.58,125.72,128.70,100,0,0
2019.11.26,15:00:00,128.71,130.72,128.71,130.72,100,0,0
2019.11.27,15:00:00,130.49,132.30,129.73,131.49,100,0,0
2019.11.28,15:00:00,132.01,132.80,129.90,130.81,100,0,0
2019.11.29,15:00:00,130.60,130.60,126.00,127.55,100,0,0
2019.12.02,15:00:00,127.45,128.94,125.20,127.00,100,0,0
2019.12.03,15:00:00,126.36,126.79,124.88,126.04,100,0,0
2019.12.04,15:00:00,127.96,128.57,126.88,128.45,100,0,0
2019.12.05,15:00:00,128.50,128.70,127.50,128.16,100,0,0
2019.12.06,15:00:00,128.15,131.20,128.01,130.98,100,0,0
2019.12.09,15:00:00,131.77,132.98,130.20,130.49,100,0,0
2019.12.10,15:00:00,129.88,131.08,129.50,130.86,100,0,0
2019.12.11,15:00:00,130.40,130.85,128.00,128.82,100,0,0
2019.12.12,15:00:00,129.00,129.22,127.30,127.78,100,0,0
2019.12.13,15:00:00,128.58,130.22,128.20,129.52,100,0,0
2019.12.16,15:00:00,130.22,130.30,127.60,128.83,100,0,0
2019.12.17,15:00:00,128.99,130.33,128.85,130.25,100,0,0
2019.12.18,15:00:00,130.50,132.92,130.25,130.94,100,0,0
2019.12.19,15:00:00,131.00,131.65,129.18,129.86,100,0,0
2019.12.20,15:00:00,130.00,130.28,128.90,129.10,100,0,0
2019.12.23,15:00:00,127.50,129.50,126.99,128.14,100,0,0
2019.12.24,15:00:00,128.44,129.62,128.40,128.70,100,0,0
2019.12.25,15:00:00,129.16,129.19,127.69,128.10,100,0,0
2019.12.26,15:00:00,128.10,128.32,127.28,128.15,100,0,0
2019.12.27,15:00:00,128.98,130.25,128.82,129.00,100,0,0
2019.12.30,15:00:00,129.20,133.25,128.58,132.82,100,0,0
2019.12.31,15:00:00,133.00,134.12,132.20,133.01,100,0,0
2020.01.02,15:00:00,132.00,133.50,129.59,132.08,100,0,0
2020.01.03,15:00:00,131.60,132.07,129.61,130.55,100,0,0
2020.01.06,15:00:00,130.00,130.25,128.52,129.20,100,0,0
2020.01.07,15:00:00,129.50,131.07,129.00,129.37,100,0,0
2020.01.08,15:00:00,128.99,129.76,128.05,128.89,100,0,0
2020.01.09,15:00:00,129.00,131.20,128.25,130.77,100,0,0
2020.01.10,15:00:00,130.50,134.05,130.50,133.62,100,0,0
2020.01.13,15:00:00,134.26,140.00,134.25,139.66,100,0,0
2020.01.14,15:00:00,140.10,140.68,138.20,138.56,100,0,0
2020.01.15,15:00:00,138.56,142.81,138.55,140.80,100,0,0
2020.01.16,15:00:00,140.80,142.00,139.30,140.66,100,0,0
2020.01.17,15:00:00,141.26,141.80,138.30,138.55,100,0,0
2020.01.20,15:00:00,140.55,140.66,136.80,137.56,100,0,0
2020.01.21,15:00:00,136.50,136.50,132.01,132.62,100,0,0
2020.01.22,15:00:00,130.99,132.67,129.76,131.70,100,0,0
2020.01.23,15:00:00,131.77,131.77,125.00,126.16,100,0,0
2020.02.03,15:00:00,113.54,113.54,113.54,113.54,100,0,0
2020.02.04,15:00:00,109.00,120.00,109.00,114.50,100,0,0
2020.02.05,15:00:00,115.90,119.80,114.10,117.51,100,0,0
2020.02.06,15:00:00,119.00,119.94,116.60,119.15,100,0,0
2020.02.07,15:00:00,119.25,120.93,117.61,120.58,100,0,0
2020.02.10,15:00:00,119.50,122.33,118.58,121.13,100,0,0
2020.02.11,15:00:00,121.15,125.50,121.15,124.79,100,0,0
2020.02.12,15:00:00,124.50,125.25,122.77,124.49,100,0,0
2020.02.13,15:00:00,124.88,126.66,123.37,124.14,100,0,0
2020.02.14,15:00:00,124.20,125.88,122.45,123.43,100,0,0
2020.02.17,15:00:00,123.18,124.30,122.58,124.30,100,0,0
2020.02.18,15:00:00,123.80,124.30,123.01,123.39,100,0,0
2020.02.19,15:00:00,123.78,127.18,122.68,126.00,100,0,0
2020.02.20,15:00:00,127.00,130.58,126.89,130.15,100,0,0
2020.02.21,15:00:00,130.00,131.20,129.02,130.00,100,0,0
2020.02.24,15:00:00,129.40,129.40,126.70,127.10,100,0,0
2020.02.25,15:00:00,124.80,127.00,123.86,125.30,100,0,0
2020.02.26,15:00:00,123.83,126.42,123.00,124.10,100,0,0
2020.02.27,15:00:00,124.80,127.75,124.50,126.30,100,0,0
2020.02.28,15:00:00,124.00,124.03,119.00,120.60,100,0,0
2020.03.02,15:00:00,120.10,123.60,119.60,122.65,100,0,0
2020.03.03,15:00:00,123.70,125.88,123.70,124.37,100,0,0
2020.03.04,15:00:00,124.00,125.93,124.00,125.27,100,0,0
2020.03.05,15:00:00,126.55,134.88,126.00,133.20,100,0,0
2020.03.06,15:00:00,132.00,134.88,130.00,130.07,100,0,0
2020.03.09,15:00:00,128.00,128.25,126.04,126.30,100,0,0
2020.03.10,15:00:00,126.30,131.63,126.20,130.72,100,0,0
2020.03.11,15:00:00,132.50,132.80,129.50,129.90,100,0,0
2020.03.12,15:00:00,126.88,128.11,125.86,126.04,100,0,0
2020.03.13,15:00:00,120.00,125.22,118.88,122.60,100,0,0
2020.03.16,15:00:00,121.40,122.40,114.41,115.50,100,0,0
2020.03.17,15:00:00,114.50,117.58,108.58,112.36,100,0,0
2020.03.18,15:00:00,113.20,115.97,106.69,107.59,100,0,0
2020.03.19,15:00:00,105.80,107.00,98.63,102.11,100,0,0
2020.03.20,15:00:00,104.32,109.66,104.21,108.51,100,0,0
2020.03.23,15:00:00,104.00,106.50,103.04,104.51,100,0,0
2020.03.24,15:00:00,107.08,109.89,106.04,109.05,100,0,0
2020.03.25,15:00:00,113.10,114.96,111.84,114.00,100,0,0
2020.03.26,15:00:00,112.98,116.30,111.90,113.89,100,0,0
2020.03.27,15:00:00,115.60,117.80,115.60,115.81,100,0,0
2020.03.30,15:00:00,112.82,114.02,111.70,113.23,100,0,0
2020.03.31,15:00:00,115.00,116.59,114.06,115.20,100,0,0
2020.04.01,15:00:00,116.00,116.99,114.44,115.00,100,0,0
2020.04.02,15:00:00,114.00,117.19,113.52,117.19,100,0,0
2020.04.03,15:00:00,117.70,119.47,116.80,117.52,100,0,0
2020.04.07,15:00:00,120.60,124.58,120.60,124.14,100,0,0
2020.04.08,15:00:00,124.14,125.99,123.43,125.28,100,0,0
2020.04.09,15:00:00,126.65,127.60,123.01,124.98,100,0,0
2020.04.10,15:00:00,124.98,128.80,124.20,126.52,100,0,0
2020.04.13,15:00:00,125.15,127.02,124.20,125.00,100,0,0
2020.04.14,15:00:00,126.61,128.88,125.20,128.45,100,0,0
2020.04.15,15:00:00,128.47,130.28,127.21,127.91,100,0,0
2020.04.16,15:00:00,127.01,127.80,125.52,126.10,100,0,0
2020.04.17,15:00:00,127.17,129.70,126.74,128.82,100,0,0
2020.04.20,15:00:00,129.92,130.48,128.88,129.31,100,0,0
2020.04.21,15:00:00,128.08,128.95,125.08,126.47,100,0,0
2020.04.22,15:00:00,126.54,130.99,125.42,130.30,100,0,0
2020.04.23,15:00:00,131.20,134.30,130.80,131.09,100,0,0
2020.04.24,15:00:00,131.24,133.29,129.37,131.40,100,0,0
2020.04.27,15:00:00,132.51,133.62,130.38,132.70,100,0,0
2020.04.28,15:00:00,136.00,141.22,134.51,139.00,100,0,0
2020.04.29,15:00:00,139.00,140.15,134.00,135.50,100,0,0
2020.04.30,15:00:00,135.50,139.20,134.02,135.77,100,0,0
2020.05.06,15:00:00,134.50,139.05,133.98,138.21,100,0,0
2020.05.07,15:00:00,138.38,142.00,137.37,141.91,100,0,0
2020.05.08,15:00:00,142.65,145.50,140.93,142.90,100,0,0
2020.05.11,15:00:00,143.22,145.10,141.00,141.85,100,0,0
2020.05.12,15:00:00,141.00,143.79,140.89,142.90,100,0,0
2020.05.13,15:00:00,142.90,146.21,142.30,146.00,100,0,0
2020.05.14,15:00:00,145.90,147.00,144.40,146.30,100,0,0
2020.05.15,15:00:00,147.50,147.99,144.08,145.22,100,0,0
2020.05.18,15:00:00,145.00,152.46,144.60,151.19,100,0,0
2020.05.19,15:00:00,153.33,153.49,150.37,151.42,100,0,0
2020.05.20,15:00:00,152.50,152.98,150.51,150.85,100,0,0
2020.05.21,15:00:00,151.86,153.53,151.03,151.68,100,0,0
2020.05.22,15:00:00,150.76,150.78,143.65,144.25,100,0,0
2020.05.25,15:00:00,144.01,147.40,141.10,147.03,100,0,0
2020.05.26,15:00:00,147.03,149.12,146.15,147.81,100,0,0
2020.05.27,15:00:00,147.82,148.40,145.68,146.16,100,0,0
2020.05.28,15:00:00,146.15,148.02,144.50,146.16,100,0,0
2020.05.29,15:00:00,145.00,148.59,144.83,148.20,100,0,0
2020.06.01,15:00:00,150.06,160.18,150.06,158.59,100,0,0
2020.06.02,15:00:00,158.39,163.65,158.02,158.77,100,0,0
2020.06.03,15:00:00,160.86,161.76,156.68,158.24,100,0,0
2020.06.04,15:00:00,158.03,159.98,157.00,158.85,100,0,0
2020.06.05,15:00:00,159.11,160.68,157.60,160.09,100,0,0
2020.06.08,15:00:00,159.50,164.95,159.30,160.61,100,0,0
2020.06.09,15:00:00,160.58,163.00,159.01,162.61,100,0,0
2020.06.10,15:00:00,162.65,163.78,161.08,162.54,100,0,0
2020.06.11,15:00:00,161.80,162.74,157.95,160.07,100,0,0
2020.06.12,15:00:00,157.00,161.88,156.10,161.50,100,0,0
2020.06.15,15:00:00,159.00,160.88,156.50,157.00,100,0,0
2020.06.16,15:00:00,157.10,159.26,156.40,157.68,100,0,0
2020.06.17,15:00:00,157.26,157.50,153.90,155.88,100,0,0
2020.06.18,15:00:00,156.60,158.58,155.96,158.36,100,0,0
2020.06.19,15:00:00,158.50,166.50,158.43,165.57,100,0,0
2020.06.22,15:00:00,164.00,164.00,161.00,163.00,100,0,0
2020.06.23,15:00:00,163.00,168.40,162.08,167.98,100,0,0
2020.06.24,15:00:00,168.41,171.30,167.00,168.61,100,0,0
2020.06.29,15:00:00,166.61,168.50,165.80,167.50,100,0,0
2020.06.30,15:00:00,168.54,171.67,168.50,171.12,100,0,0
2020.07.01,15:00:00,171.12,185.10,171.12,181.98,100,0,0
2020.07.02,15:00:00,180.00,192.34,179.88,189.49,100,0,0
2020.07.03,15:00:00,189.99,190.50,182.50,188.72,100,0,0
2020.07.06,15:00:00,188.71,196.00,185.56,192.82,100,0,0
2020.07.07,15:00:00,192.78,206.38,190.32,201.89,100,0,0
2020.07.08,15:00:00,201.50,205.80,199.00,203.36,100,0,0
2020.07.09,15:00:00,203.39,205.36,201.50,203.72,100,0,0
2020.07.10,15:00:00,203.00,211.80,200.80,207.00,100,0,0
2020.07.13,15:00:00,207.00,225.00,207.00,218.20,100,0,0
2020.07.14,15:00:00,218.30,225.33,212.03,220.90,100,0,0
2020.07.15,15:00:00,219.00,226.00,217.60,223.95,100,0,0
2020.07.16,15:00:00,221.00,221.05,201.56,201.56,100,0,0
2020.07.17,15:00:00,195.00,209.70,195.00,205.39,100,0,0
2020.07.20,15:00:00,205.50,208.50,191.01,201.68,100,0,0
2020.07.21,15:00:00,201.00,208.90,198.80,205.58,100,0,0
2020.07.22,15:00:00,204.25,212.87,202.75,208.90,100,0,0
