                  月度房价指数 (6_EPI)
      时间	    开盘	    最高	    最低	    收盘	         成交量	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2016/09/30	  100.54	  100.54	  100.54	  100.54	              0	       1.46	       0.71	       1.49	
 2016/10/31	  100.75	  100.75	  100.75	  100.75	              0	       1.52	       0.87	       1.29	
 2016/11/30	  100.88	  100.88	  100.88	  100.88	              0	       1.56	       1.01	       1.10	
 2016/12/31	  101.02	  101.02	  101.02	  101.02	              0	       1.59	       1.13	       0.92	
 2017/01/31	  100.76	  100.76	  100.76	  100.76	              0	       1.57	       1.21	       0.71	
 2017/02/28	  100.78	  100.78	  100.78	  100.78	              0	       1.54	       1.28	       0.52	
 2017/03/31	  101.12	  101.12	  101.12	  101.12	              0	       1.52	       1.33	       0.39	
 2017/04/30	  101.21	  101.21	  101.21	  101.21	              0	       1.50	       1.36	       0.28	
 2017/05/31	  101.18	  101.18	  101.18	  101.18	              0	       1.47	       1.38	       0.16	
 2017/06/30	  101.38	  101.38	  101.38	  101.38	              0	       1.44	       1.39	       0.09	
 2017/07/31	  101.45	  101.45	  101.45	  101.45	              0	       1.40	       1.40	       0.01	
 2017/08/31	  101.47	  101.47	  101.47	  101.47	              0	       1.36	       1.39	      -0.05	
 2017/09/30	  101.50	  101.50	  101.50	  101.50	              0	       1.32	       1.37	      -0.11	
 2017/10/31	  101.54	  101.54	  101.54	  101.54	              0	       1.27	       1.35	      -0.17	
 2017/11/30	  101.68	  101.68	  101.68	  101.68	              0	       1.23	       1.33	      -0.20	
 2017/12/31	  101.77	  101.77	  101.77	  101.77	              0	       1.19	       1.30	      -0.22	
 2018/01/31	  101.69	  101.69	  101.69	  101.69	              0	       1.14	       1.27	      -0.26	
 2018/02/28	  101.71	  101.71	  101.71	  101.71	              0	       1.09	       1.23	      -0.29	
 2018/03/31	  101.52	  101.52	  101.52	  101.52	              0	       1.02	       1.19	      -0.34	
 2018/04/30	  101.39	  101.39	  101.39	  101.39	              0	       0.95	       1.14	      -0.39	
 2018/05/31	  101.62	  101.62	  101.62	  101.62	              0	       0.90	       1.09	      -0.39	
 2018/06/30	  101.71	  101.71	  101.71	  101.71	              0	       0.85	       1.05	      -0.38	
 2018/07/31	  101.92	  101.92	  101.92	  101.92	              0	       0.83	       1.00	      -0.35	
 2018/08/31	  102.03	  102.03	  102.03	  102.03	              0	       0.81	       0.96	      -0.31	
 2018/09/30	  102.03	  102.03	  102.03	  102.03	              0	       0.78	       0.93	      -0.29	
 2018/10/31	  101.99	  101.99	  101.99	  101.99	              0	       0.75	       0.89	      -0.29	
 2018/11/30	  101.97	  101.97	  101.97	  101.97	              0	       0.71	       0.86	      -0.29	
 2018/12/31	  101.87	  101.87	  101.87	  101.87	              0	       0.67	       0.82	      -0.30	
 2019/01/31	  100.58	  100.58	  100.58	  100.58	              0	       0.52	       0.76	      -0.47	
 2019/02/28	  100.81	  100.81	  100.81	  100.81	              0	       0.42	       0.69	      -0.54	
 2019/03/31	  101.01	  101.01	  101.01	  101.01	              0	       0.35	       0.62	      -0.54	
 2019/04/30	  101.14	  101.14	  101.14	  101.14	              0	       0.31	       0.56	      -0.51	
 2019/05/31	  101.06	  101.06	  101.06	  101.06	              0	       0.26	       0.50	      -0.48	
 2019/06/30	  101.09	  101.09	  101.09	  101.09	              0	       0.22	       0.44	      -0.44	
 2019/07/31	  101.09	  101.09	  101.09	  101.09	              0	       0.19	       0.39	      -0.41	
 2019/08/31	  101.11	  101.11	  101.11	  101.11	              0	       0.17	       0.35	      -0.37	
 2019/09/30	  101.23	  101.23	  101.23	  101.23	              0	       0.15	       0.31	      -0.31	
 2019/10/31	  101.30	  101.30	  101.30	  101.30	              0	       0.15	       0.28	      -0.26	
 2019/11/30	  101.31	  101.31	  101.31	  101.31	              0	       0.14	       0.25	      -0.22	
 2019/12/31	  101.28	  101.28	  101.28	  101.28	              0	       0.13	       0.23	      -0.19	
 2020/01/31	  100.33	  100.33	  100.33	  100.33	              0	       0.05	       0.19	      -0.28	
 2020/02/29	   97.44	   97.44	   97.44	   97.44	              0	      -0.25	       0.10	      -0.70	
 2020/03/31	   98.23	   98.23	   98.23	   98.23	              0	      -0.41	       0.00	      -0.83	
 2020/04/30	   98.89	   98.89	   98.89	   98.89	              0	      -0.49	      -0.10	      -0.78	
 2020/05/31	   99.36	   99.36	   99.36	   99.36	              0	      -0.50	      -0.18	      -0.65	
 2020/06/30	   99.84	   99.84	   99.84	   99.84	              0	      -0.47	      -0.24	      -0.46	
 2020/07/31	  100.09	  100.09	  100.09	  100.09	              0	      -0.42	      -0.27	      -0.29	
 2020/08/31	  100.32	  100.32	  100.32	  100.32	              0	      -0.35	      -0.29	      -0.13	
 2020/09/30	  100.43	  100.43	  100.43	  100.43	              0	      -0.29	      -0.29	      -0.01	
数据来源:通达信
