                  同花顺 (300033)
      时间	    开盘	    最高	    最低	    收盘	         成交量	THT_EMA.EXP1  	THT_EMA.EXP2  	高顿MACD.DIF   	高顿MACD.DEA   	高顿MACD.      	高顿MACD.MACD  	高顿MACD.      	高顿MACD.低背  	高顿MACD.      	高顿MACD.顶背  	高顿MACD.      	高顿MACD.      	高顿MACD.      	高顿MACD.      	高顿MACD.      	RSI自制.RSI1  	RSI自制.RSI2  	RSI自制.RSI3  	RSI自制.超买区上线	RSI自制.超卖区下线	RSI自制.通达信中线	CCI自制.CCI   	CCI自制.超买区上线	CCI自制.超卖区下线	CCI自制.通达信中线	
 2020/03/26	  111.32	  112.14	  110.04	  110.15	        8194089	     116.25	     108.96	      -2.93	      -1.62	       0.00	      -2.63	       0.00	           	       0.00	           	       0.00	           	      -2.93	       0.00	       0.00	      42.60	      42.60	      42.60	      75.00	      25.00	      50.00	     -44.00	     100.00	    -100.00	       0.00	
 2020/03/27	  112.16	  113.05	  109.20	  110.79	        9334203	     115.73	     108.99	      -2.97	      -1.89	       0.00	      -2.17	       0.00	           	       0.00	           	       0.00	           	      -2.97	       0.00	       1.00	      43.42	      43.42	      43.42	      75.00	      25.00	      50.00	     -30.26	     100.00	    -100.00	       0.00	
 2020/03/30	  108.15	  109.15	  106.15	  108.13	        8049079	     115.00	     108.98	      -3.18	      -2.14	       0.00	      -2.06	       0.00	           	       0.00	           	       0.00	           	           	       0.00	       0.00	      40.77	      40.77	      40.77	      75.00	      25.00	      50.00	    -134.87	     100.00	    -100.00	       0.00	
 2020/03/31	  109.24	  109.97	  107.36	  107.75	        5996152	     114.31	     108.96	      -3.33	      -2.38	       0.00	      -1.90	       0.00	           	       0.00	           	       0.00	      -3.33	           	       0.00	       1.00	      40.38	      40.38	      40.38	      75.00	      25.00	      50.00	    -101.98	     100.00	    -100.00	       0.00	
 2020/04/01	  107.15	  110.15	  107.15	  107.96	        6566266	     113.71	     108.94	      -3.40	      -2.58	       0.00	      -1.63	       0.00	           	       0.00	           	       0.00	      -3.40	           	       0.00	       0.00	      40.72	      40.72	      40.72	      75.00	      25.00	      50.00	     -83.27	     100.00	    -100.00	       0.00	
 2020/04/02	  107.51	  113.05	  107.00	  113.02	        9251301	     113.64	     109.01	      -3.01	      -2.67	       0.00	      -0.68	       1.00	           	       0.00	           	       0.00	      -3.01	           	       0.00	       1.00	      48.39	      48.39	      48.39	      75.00	      25.00	      50.00	      32.93	     100.00	    -100.00	       0.00	
 2020/04/03	  111.70	  112.85	  109.40	  109.96	        7283066	     113.29	     109.02	      -2.91	      -2.72	       0.00	      -0.39	       0.00	           	       0.00	           	       0.00	      -2.91	           	       0.00	       0.00	      44.58	      44.58	      44.58	      75.00	      25.00	      50.00	      18.01	     100.00	    -100.00	       0.00	
 2020/04/07	  113.95	  114.77	  112.51	  113.59	       11309360	     113.32	     109.10	      -2.52	      -2.68	       0.00	       0.32	       0.00	           	       0.00	           	       0.00	      -2.52	           	       1.00	       0.00	      49.70	      49.70	      49.70	      75.00	      25.00	      50.00	     119.37	     100.00	    -100.00	       0.00	
 2020/04/08	  112.00	  113.50	  111.65	  112.58	        6420952	     113.25	     109.16	      -2.26	      -2.59	       0.00	       0.67	       0.00	           	       0.00	           	       0.00	      -2.26	           	       0.00	       0.00	      48.35	      48.35	      48.35	      75.00	      25.00	      50.00	      75.04	     100.00	    -100.00	       0.00	
 2020/04/09	  114.55	  123.84	  114.55	  123.84	       28506020	     114.26	     109.40	      -1.13	      -2.30	       0.00	       2.34	       0.00	           	       0.00	           	       0.00	           	      -1.13	       1.00	       0.00	      61.21	      61.21	      61.21	      75.00	      25.00	      50.00	     249.94	     100.00	    -100.00	       0.00	
 2020/04/10	  122.18	  122.50	  114.45	  116.24	       24028792	     114.45	     109.51	      -0.84	      -2.01	       0.00	       2.34	       0.00	           	       0.00	           	       0.00	           	      -0.84	       0.00	       0.00	      51.72	      51.72	      51.72	      75.00	      25.00	      50.00	     123.10	     100.00	    -100.00	       0.00	
 2020/04/13	  113.04	  118.75	  111.55	  118.40	       12668906	     114.82	     109.66	      -0.43	      -1.69	       0.00	       2.52	       0.00	           	       0.00	           	       0.00	           	           	       1.00	       0.00	      53.94	      53.94	      53.94	      75.00	      25.00	      50.00	      81.11	     100.00	    -100.00	       0.00	
 2020/04/14	  117.00	  121.20	  117.00	  119.86	       13241244	     115.30	     109.83	       0.01	      -1.35	       0.00	       2.73	       0.00	           	       0.00	           	       0.00	           	           	       0.00	       0.00	      55.44	      55.44	      55.44	      75.00	      25.00	      50.00	     113.02	     100.00	    -100.00	       0.00	
 2020/04/15	  118.57	  119.69	  115.80	  116.62	        8954008	     115.43	     109.94	       0.10	      -1.06	       0.00	       2.32	       0.00	           	       0.00	           	       0.00	           	           	       1.00	       0.00	      51.38	      51.38	      51.38	      75.00	      25.00	      50.00	      64.14	     100.00	    -100.00	       0.00	
 2020/04/16	  115.01	  118.48	  115.01	  117.00	        7354875	     115.58	     110.06	       0.20	      -0.81	       0.00	       2.01	       0.00	           	       0.00	           	       0.00	       0.20	           	       0.00	       0.00	      51.83	      51.83	      51.83	      75.00	      25.00	      50.00	      44.36	     100.00	    -100.00	       0.00	
 2020/04/17	  117.50	  120.41	  117.39	  117.91	       10989127	     115.80	     110.19	       0.34	      -0.58	       0.00	       1.85	       0.00	           	       0.00	           	       0.00	           	           	       1.00	       0.00	      52.97	      52.97	      52.97	      75.00	      25.00	      50.00	      66.19	     100.00	    -100.00	       0.00	
 2020/04/20	  117.00	  120.30	  117.00	  119.13	        7292629	     116.12	     110.34	       0.55	      -0.35	       0.00	       1.81	       0.00	           	       0.00	           	       0.00	           	           	       0.00	       0.00	      54.55	      54.55	      54.55	      75.00	      25.00	      50.00	      64.60	     100.00	    -100.00	       0.00	
 2020/04/21	  117.11	  118.00	  114.85	  116.11	        7553440	     116.12	     110.43	       0.47	      -0.19	       0.00	       1.31	       0.00	           	       0.00	           	       0.00	       0.47	           	       1.00	       0.00	      50.02	      50.02	      50.02	      75.00	      25.00	      50.00	      -7.61	     100.00	    -100.00	       0.00	
 2020/04/22	  114.97	  116.25	  114.02	  115.90	        5985168	     116.10	     110.52	       0.38	      -0.08	       0.00	       0.91	       0.00	           	       0.00	           	       0.00	           	           	       0.00	       0.00	      49.71	      49.71	      49.71	      75.00	      25.00	      50.00	     -58.23	     100.00	    -100.00	       0.00	
 2020/04/23	  116.18	  116.18	  113.76	  113.94	        5908328	     115.89	     110.58	       0.15	      -0.03	       0.00	       0.36	       0.00	           	       0.00	           	       0.00	           	           	       1.00	       0.00	      46.73	      46.73	      46.73	      75.00	      25.00	      50.00	     -93.96	     100.00	    -100.00	       0.00	
 2020/04/24	  113.69	  114.39	  110.02	  110.58	        7847652	     115.38	     110.58	      -0.30	      -0.08	       0.00	      -0.43	       0.00	           	       0.00	           	       0.00	      -0.30	           	       0.00	       1.00	      42.02	      42.02	      42.02	      75.00	      25.00	      50.00	    -197.34	     100.00	    -100.00	       0.00	
 2020/04/27	  111.00	  112.90	  110.00	  111.50	        5728701	     115.01	     110.59	      -0.57	      -0.18	       0.00	      -0.78	       0.00	           	       0.00	           	       0.00	      -0.57	           	       0.00	       0.00	      43.72	      43.72	      43.72	      75.00	      25.00	      50.00	    -162.54	     100.00	    -100.00	       0.00	
 2020/04/28	  113.69	  115.10	  110.85	  112.99	        9104034	     114.82	     110.63	      -0.66	      -0.28	       0.00	      -0.77	       0.00	           	       0.00	           	       0.00	      -0.66	           	       0.00	       1.00	      46.48	      46.48	      46.48	      75.00	      25.00	      50.00	     -87.62	     100.00	    -100.00	       0.00	
 2020/04/29	  112.07	  115.78	  112.07	  113.91	        6654475	     114.74	     110.69	      -0.65	      -0.35	       0.00	      -0.60	       1.00	           	       0.00	           	       0.00	           	           	       0.00	       0.00	      48.19	      48.19	      48.19	      75.00	      25.00	      50.00	     -49.64	     100.00	    -100.00	       0.00	
 2020/04/30	  115.21	  120.20	  115.20	  119.45	       14127502	     115.18	     110.83	      -0.20	      -0.32	       0.00	       0.25	       0.00	           	       0.00	           	       0.00	           	      -0.20	       1.00	       0.00	      57.19	      57.19	      57.19	      75.00	      25.00	      50.00	      84.61	     100.00	    -100.00	       0.00	
 2020/05/06	  117.00	  121.38	  116.32	  121.23	       10826077	     115.76	     111.00	       0.31	      -0.20	       0.00	       1.00	       0.00	           	       0.00	           	       0.00	           	       0.31	       0.00	       0.00	      59.65	      59.65	      59.65	      75.00	      25.00	      50.00	     110.80	     100.00	    -100.00	       0.00	
 2020/05/07	  121.80	  121.80	  118.65	  118.79	        7681975	     116.05	     111.13	       0.50	      -0.06	       0.00	       1.12	       0.00	           	       0.00	           	       0.00	           	       0.50	       1.00	       0.00	      54.93	      54.93	      54.93	      75.00	      25.00	      50.00	      96.91	     100.00	    -100.00	       0.00	
 2020/05/08	  120.80	  124.15	  119.60	  120.52	       12999450	     116.47	     111.29	       0.79	       0.11	       0.00	       1.35	       0.00	           	       0.00	           	       0.00	           	       0.79	       0.00	       0.00	      57.53	      57.53	      57.53	      75.00	      25.00	      50.00	     122.50	     100.00	    -100.00	       0.00	
 2020/05/11	  120.86	  121.81	  117.66	  119.07	        9006855	     116.72	     111.42	       0.89	       0.27	       0.00	       1.24	       0.00	           	       0.00	           	       0.00	           	       0.89	       1.00	       0.00	      54.65	      54.65	      54.65	      75.00	      25.00	      50.00	      74.88	     100.00	    -100.00	       0.00	
 2020/05/12	  119.45	  119.98	  117.17	  119.30	        5120128	     116.97	     111.55	       0.97	       0.41	       0.00	       1.13	       0.00	           	       0.00	           	       0.00	           	       0.97	       0.00	       0.00	      55.04	      55.04	      55.04	      75.00	      25.00	      50.00	      50.52	     100.00	    -100.00	       0.00	
 2020/05/13	  119.00	  121.50	  118.07	  120.25	        6080486	     117.28	     111.69	       1.10	       0.55	       0.00	       1.11	       0.00	           	       0.00	           	       0.00	           	       1.10	       1.00	       0.00	      56.71	      56.71	      56.71	      75.00	      25.00	      50.00	      63.62	     100.00	    -100.00	       0.00	
 2020/05/14	  119.50	  119.58	  117.03	  117.60	        6831081	     117.31	     111.79	       0.98	       0.63	       0.00	       0.70	       0.00	           	       0.00	           	       0.00	           	       0.98	       0.00	       0.00	      50.94	      50.94	      50.94	      75.00	      25.00	      50.00	      20.54	     100.00	    -100.00	       0.00	
 2020/05/15	  118.30	  119.13	  116.77	  117.88	        6430837	     117.36	     111.89	       0.90	       0.69	       0.00	       0.43	       0.00	           	       0.00	           	       0.00	           	           	       1.00	       0.00	      51.51	      51.51	      51.51	      75.00	      25.00	      50.00	       7.76	     100.00	    -100.00	       0.00	
 2020/05/18	  117.01	  118.88	  115.77	  117.13	        6667066	     117.34	     111.98	       0.76	       0.70	       0.00	       0.12	       0.00	           	       0.00	           	       0.00	           	           	       0.00	       0.00	      49.82	      49.82	      49.82	      75.00	      25.00	      50.00	     -33.10	     100.00	    -100.00	       0.00	
 2020/05/19	  118.98	  120.50	  117.48	  117.78	        8081271	     117.38	     112.07	       0.70	       0.70	       0.00	      -0.00	       0.00	           	       0.00	           	       0.00	           	           	       0.00	       1.00	      51.33	      51.33	      51.33	      75.00	      25.00	      50.00	      -0.40	     100.00	    -100.00	       0.00	
 2020/05/20	  117.49	  117.65	  115.23	  115.66	        7333430	     117.22	     112.13	       0.48	       0.66	       0.00	      -0.36	       0.00	           	       0.00	           	       0.00	       0.48	           	       0.00	       0.00	      46.37	      46.37	      46.37	      75.00	      25.00	      50.00	    -162.95	     100.00	    -100.00	       0.00	
 2020/05/21	  116.00	  116.50	  112.64	  112.81	        7406482	     116.80	     112.14	       0.06	       0.54	       0.00	      -0.95	       0.00	           	       0.00	           	       0.00	       0.06	           	       0.00	       1.00	      40.62	      40.62	      40.62	      75.00	      25.00	      50.00	    -204.16	     100.00	    -100.00	       0.00	
 2020/05/22	  112.81	  114.39	  111.00	  111.10	        6112839	     116.26	     112.12	      -0.39	       0.35	       0.00	      -1.49	       0.00	           	       0.00	           	       0.00	      -0.39	           	       0.00	       0.00	      37.56	      37.56	      37.56	      75.00	      25.00	      50.00	    -194.12	     100.00	    -100.00	       0.00	
 2020/05/25	  111.00	  112.30	  110.30	  111.47	        3646698	     115.80	     112.11	      -0.72	       0.14	       0.00	      -1.71	       0.00	           	       0.00	           	       0.00	      -0.72	           	       0.00	       1.00	      38.65	      38.65	      38.65	      75.00	      25.00	      50.00	    -156.08	     100.00	    -100.00	       0.00	
 2020/05/26	  112.33	  114.18	  112.01	  113.09	        5790910	     115.54	     112.13	      -0.84	      -0.06	       0.00	      -1.56	       0.00	           	       0.00	           	       0.00	      -0.84	           	       0.00	       0.00	      43.37	      43.37	      43.37	      75.00	      25.00	      50.00	     -86.87	     100.00	    -100.00	       0.00	
 2020/05/27	  112.66	  113.10	  110.40	  110.97	        4838913	     115.11	     112.11	      -1.09	      -0.26	       0.00	      -1.65	       0.00	           	       0.00	           	       0.00	      -1.09	           	       0.00	       1.00	      39.08	      39.08	      39.08	      75.00	      25.00	      50.00	    -102.33	     100.00	    -100.00	       0.00	
 2020/05/28	  111.10	  114.00	  110.00	  111.40	        7548640	     114.75	     112.10	      -1.24	      -0.46	       0.00	      -1.56	       0.00	           	       0.00	           	       0.00	           	           	       0.00	       0.00	      40.38	      40.38	      40.38	      75.00	      25.00	      50.00	     -78.74	     100.00	    -100.00	       0.00	
 2020/05/29	  107.59	  108.79	  105.00	  107.29	       10140093	     114.04	     112.02	      -1.67	      -0.70	       0.00	      -1.94	       0.00	           	       0.00	           	       0.00	      -1.67	           	       0.00	       1.00	      33.02	      33.02	      33.02	      75.00	      25.00	      50.00	    -159.96	     100.00	    -100.00	       0.00	
 2020/06/01	  111.33	  117.66	  110.01	  116.56	       16420012	     114.28	     112.09	      -1.25	      -0.81	       0.00	      -0.88	       1.00	           	       0.00	           	       0.00	           	      -1.25	       0.00	       0.00	      53.77	      53.77	      53.77	      75.00	      25.00	      50.00	      23.75	     100.00	    -100.00	       0.00	
 2020/06/02	  115.50	  116.54	  113.35	  113.86	        9464811	     114.24	     112.12	      -1.12	      -0.87	       0.00	      -0.50	       0.00	           	       0.00	           	       0.00	           	      -1.12	       0.00	       1.00	      48.95	      48.95	      48.95	      75.00	      25.00	      50.00	      29.88	     100.00	    -100.00	       0.00	
 2020/06/03	  114.50	  115.50	  112.32	  112.35	        7090937	     114.06	     112.13	      -1.13	      -0.92	       0.00	      -0.41	       0.00	           	       0.00	           	       0.00	           	      -1.13	       0.00	       0.00	      46.41	      46.41	      46.41	      75.00	      25.00	      50.00	       6.20	     100.00	    -100.00	       0.00	
 2020/06/04	  112.36	  113.25	  110.31	  111.00	        6211900	     113.77	     112.11	      -1.23	      -0.98	       0.00	      -0.49	       0.00	           	       0.00	           	       0.00	           	      -1.23	       0.00	       1.00	      44.18	      44.18	      44.18	      75.00	      25.00	      50.00	     -42.33	     100.00	    -100.00	       0.00	
 2020/06/05	  111.50	  113.68	  110.50	  112.96	        7294540	     113.69	     112.12	      -1.14	      -1.02	       0.00	      -0.24	       1.00	           	       0.00	           	       0.00	           	      -1.14	       0.00	       0.00	      48.13	      48.13	      48.13	      75.00	      25.00	      50.00	       4.08	     100.00	    -100.00	       0.00	
 2020/06/08	  113.11	  114.83	  112.59	  112.70	        6270189	     113.60	     112.13	      -1.07	      -1.03	       0.00	      -0.09	       0.00	           	       0.00	           	       0.00	           	           	       0.00	       1.00	      47.64	      47.64	      47.64	      75.00	      25.00	      50.00	      55.78	     100.00	    -100.00	       0.00	
 2020/06/09	  112.96	  117.50	  112.60	  116.31	       13118187	     113.86	     112.20	      -0.72	      -0.97	       0.00	       0.49	       0.00	           	       0.00	           	       0.00	           	      -0.72	       1.00	       0.00	      54.62	      54.62	      54.62	      75.00	      25.00	      50.00	     123.74	     100.00	    -100.00	       0.00	
 2020/06/10	  114.51	  118.88	  114.51	  117.80	        9916087	     114.23	     112.29	      -0.32	      -0.84	       0.00	       1.03	       0.00	           	       0.00	           	       0.00	           	      -0.32	       0.00	       0.00	      57.19	      57.19	      57.19	      75.00	      25.00	      50.00	     151.32	     100.00	    -100.00	       0.00	
 2020/06/11	  117.56	  125.48	  117.21	  118.88	       16378862	     114.68	     112.40	       0.08	      -0.65	       0.00	       1.47	       0.00	           	       0.00	           	       0.00	           	       0.08	       1.00	       0.00	      59.02	      59.02	      59.02	      75.00	      25.00	      50.00	     193.07	     100.00	    -100.00	       0.00	
 2020/06/12	  116.00	  121.00	  115.60	  119.84	       11682175	     115.17	     112.53	       0.48	      -0.43	       0.00	       1.81	       0.00	           	       0.00	           	       0.00	           	       0.48	       0.00	       0.00	      60.65	      60.65	      60.65	      75.00	      25.00	      50.00	     115.80	     100.00	    -100.00	       0.00	
 2020/06/15	  120.00	  124.99	  119.07	  119.22	       12589648	     115.55	     112.64	       0.73	      -0.20	       0.00	       1.85	       0.00	           	       0.00	           	       0.00	           	       0.73	       1.00	       0.00	      59.00	      59.00	      59.00	      75.00	      25.00	      50.00	     135.66	     100.00	    -100.00	       0.00	
 2020/06/16	  121.88	  122.60	  119.21	  120.60	        8261051	     116.03	     112.77	       1.03	       0.05	       0.00	       1.96	       0.00	           	       0.00	           	       0.00	           	       1.03	       0.00	       0.00	      61.55	      61.55	      61.55	      75.00	      25.00	      50.00	     106.05	     100.00	    -100.00	       0.00	
 2020/06/17	  120.50	  120.50	  117.60	  118.90	        6724438	     116.31	     112.87	       1.12	       0.26	       0.00	       1.71	       0.00	           	       0.00	           	       0.00	           	       1.12	       1.00	       0.00	      56.80	      56.80	      56.80	      75.00	      25.00	      50.00	      54.65	     100.00	    -100.00	       0.00	
 2020/06/18	  118.90	  122.30	  117.88	  119.98	        7842577	     116.66	     112.99	       1.26	       0.46	       0.00	       1.59	       0.00	           	       0.00	           	       0.00	           	       1.26	       0.00	       0.00	      58.99	      58.99	      58.99	      75.00	      25.00	      50.00	      66.41	     100.00	    -100.00	       0.00	
 2020/06/19	  120.28	  127.86	  120.00	  125.25	       17989362	     117.48	     113.19	       1.77	       0.72	       0.00	       2.10	       0.00	           	       0.00	           	       0.00	           	       1.77	       1.00	       0.00	      67.72	      67.72	      67.72	      75.00	      25.00	      50.00	     132.93	     100.00	    -100.00	       0.00	
 2020/06/22	  125.34	  134.46	  125.34	  128.80	       16654214	     118.55	     113.45	       2.44	       1.07	       0.00	       2.75	       0.00	           	       0.00	           	       0.00	           	       2.44	       0.00	       0.00	      72.08	      72.08	      72.08	      75.00	      25.00	      50.00	     201.81	     100.00	    -100.00	       0.00	
 2020/06/23	  127.02	  129.80	  126.50	  128.73	       10649039	     119.52	     113.70	       2.93	       1.44	       0.00	       2.98	       0.00	           	       0.00	           	       0.00	           	       2.93	       1.00	       0.00	      71.87	      71.87	      71.87	      75.00	      25.00	      50.00	     148.16	     100.00	    -100.00	       0.00	
 2020/06/24	  129.62	  130.47	  126.29	  128.02	        7426474	     120.33	     113.94	       3.23	       1.80	       0.00	       2.86	       0.00	           	       0.00	           	       0.00	           	       3.23	       0.00	       0.00	      69.64	      69.64	      69.64	      75.00	      25.00	      50.00	     111.15	     100.00	    -100.00	       0.00	
 2020/06/29	  128.23	  130.20	  125.45	  126.72	        8765228	     120.94	     114.15	       3.32	       2.10	       0.00	       2.43	       0.00	           	       0.00	           	       0.00	           	       3.32	       1.00	       0.00	      65.57	      65.57	      65.57	      75.00	      25.00	      50.00	      77.66	     100.00	    -100.00	       0.00	
 2020/06/30	  127.99	  135.65	  127.27	  133.08	       12507071	     122.10	     114.46	       3.86	       2.45	       0.00	       2.81	       0.00	           	       0.00	           	       0.00	           	       3.86	       0.00	       0.00	      73.76	      73.76	      73.76	      75.00	      25.00	      50.00	     125.81	     100.00	    -100.00	       0.00	
 2020/07/01	  133.08	  135.58	  128.90	  132.00	       10651352	     123.04	     114.75	       4.15	       2.79	       0.00	       2.72	       0.00	           	       0.00	           	       0.00	           	       4.15	       1.00	       0.00	      70.64	      70.64	      70.64	      75.00	      25.00	      50.00	     104.48	     100.00	    -100.00	       0.00	
 2020/07/02	  131.52	  145.20	  131.00	  145.20	       18256876	     125.15	     115.25	       5.39	       3.31	       0.00	       4.15	       0.00	           	       0.00	           	       0.00	           	       5.39	       0.00	       0.00	      81.21	      81.21	      81.21	      75.00	      25.00	      50.00	     183.19	     100.00	    -100.00	       0.00	
 2020/07/03	  150.00	  159.72	  148.00	  158.01	       23203640	     128.28	     115.96	       7.31	       4.11	       0.00	       6.40	       0.00	           	       0.00	           	       0.00	           	       7.31	       1.00	       0.00	      86.40	      86.40	      86.40	      75.00	      25.00	      50.00	     250.35	     100.00	    -100.00	       0.00	
 2020/07/06	  160.05	  173.81	  160.01	  173.81	       19951226	     132.62	     116.92	      10.00	       5.29	       0.00	       9.42	       0.00	           	       0.00	           	       0.00	           	      10.00	       0.00	       0.00	      90.08	      90.08	      90.08	      75.00	      25.00	      50.00	     223.16	     100.00	    -100.00	       0.00	
 2020/07/07	  179.00	  179.66	  163.12	  164.55	       21502656	     135.66	     117.70	      11.25	       6.48	       0.00	       9.54	       0.00	           	       0.00	           	       0.00	           	      11.25	       1.00	       0.00	      76.79	      76.79	      76.79	      75.00	      25.00	      50.00	     151.74	     100.00	    -100.00	       0.00	
 2020/07/08	  164.55	  181.01	  163.10	  178.61	       17279908	     139.75	     118.71	      13.23	       7.83	       0.00	      10.80	       0.00	           	       0.00	           	       0.00	           	      13.23	       0.00	       0.00	      81.35	      81.35	      81.35	      75.00	      25.00	      50.00	     129.85	     100.00	    -100.00	       0.00	
 2020/07/09	  171.12	  187.99	  171.10	  177.51	       18914752	     143.34	     119.68	      14.54	       9.17	       0.00	      10.73	       0.00	           	       0.00	           	       0.00	           	      14.54	       1.00	       0.00	      80.01	      80.01	      80.01	      75.00	      25.00	      50.00	     114.26	     100.00	    -100.00	       0.00	
 2020/07/10	  172.99	  176.60	  170.66	  172.18	       11425534	     146.09	     120.55	      14.97	      10.33	       0.00	       9.28	       0.00	           	       0.00	           	       0.00	           	      14.97	       0.00	       0.00	      73.59	      73.59	      73.59	      75.00	      25.00	      50.00	      77.66	     100.00	    -100.00	       0.00	
 2020/07/13	  169.00	  181.75	  168.00	  174.18	       15149307	     148.77	     121.44	      15.30	      11.33	       0.00	       7.95	       0.00	           	       0.00	           	       0.00	           	      15.30	       1.00	       0.00	      74.43	      74.43	      74.43	      75.00	      25.00	      50.00	      71.39	     100.00	    -100.00	       0.00	
 2020/07/14	  170.88	  177.50	  167.00	  171.02	       12084249	     150.89	     122.26	      15.13	      12.09	       0.00	       6.09	       0.00	           	       0.00	           	       0.00	           	      15.13	       0.00	       0.00	      70.57	      70.57	      70.57	      75.00	      25.00	      50.00	      52.64	     100.00	    -100.00	       0.00	
 2020/07/15	  174.02	  175.00	  164.37	  166.93	       11510603	     152.41	     123.00	      14.50	      12.57	       0.00	       3.86	       0.00	           	       0.00	           	       0.00	      14.50	           	       1.00	       0.00	      65.75	      65.75	      65.75	      75.00	      25.00	      50.00	      32.88	     100.00	    -100.00	       0.00	
 2020/07/16	  166.59	  170.27	  150.97	  152.08	       16747498	     152.38	     123.48	      12.66	      12.59	       0.00	       0.14	       0.00	           	       0.00	           	       0.00	      12.66	           	       0.00	       0.00	      51.75	      51.75	      51.75	      75.00	      25.00	      50.00	     -34.62	     100.00	    -100.00	       0.00	
 2020/07/17	  155.12	  155.66	  146.66	  149.44	       12580671	     152.10	     123.91	      10.86	      12.24	       0.00	      -2.77	       0.00	           	       0.00	           	       0.00	      10.86	           	       0.00	       1.00	      49.69	      49.69	      49.69	      75.00	      25.00	      50.00	    -103.01	     100.00	    -100.00	       0.00	
 2020/07/20	  153.20	  157.06	  146.80	  153.43	       13481256	     152.23	     124.39	       9.64	      11.72	       0.00	      -4.16	       0.00	           	       0.00	           	       0.00	       9.64	           	       0.00	       0.00	      52.78	      52.78	      52.78	      75.00	      25.00	      50.00	    -112.82	     100.00	    -100.00	       0.00	
 2020/07/21	  153.33	  154.80	  148.53	  149.95	        9540395	     152.01	     124.82	       8.30	      11.04	       0.00	      -5.47	       0.00	           	       0.00	           	       0.00	       8.30	           	       0.00	       1.00	      49.87	      49.87	      49.87	      75.00	      25.00	      50.00	    -114.44	     100.00	    -100.00	       0.00	
 2020/07/22	  149.70	  157.51	  149.18	  151.91	       12755910	     152.00	     125.26	       7.32	      10.30	       0.00	      -5.96	       0.00	           	       0.00	           	       0.00	       7.32	           	       0.00	       0.00	      51.51	      51.51	      51.51	      75.00	      25.00	      50.00	     -80.57	     100.00	    -100.00	       0.00	
 2020/07/23	  149.85	  153.60	  146.33	  150.52	       10098938	     151.86	     125.68	       6.35	       9.51	       0.00	      -6.31	       0.00	           	       0.00	           	       0.00	           	           	       0.00	       1.00	      50.24	      50.24	      50.24	      75.00	      25.00	      50.00	     -81.41	     100.00	    -100.00	       0.00	
 2020/07/24	  150.00	  151.99	  139.42	  140.40	       12633168	     150.77	     125.92	       4.71	       8.55	       0.00	      -7.67	       0.00	           	       0.00	           	       0.00	       4.71	           	       0.00	       0.00	      41.99	      41.99	      41.99	      75.00	      25.00	      50.00	    -102.42	     100.00	    -100.00	       0.00	
 2020/07/27	  141.09	  142.40	  135.85	  138.61	       11131881	     149.61	     126.13	       3.23	       7.48	       0.00	      -8.51	       0.00	           	       0.00	           	       0.00	       3.23	           	       0.00	       1.00	      40.70	      40.70	      40.70	      75.00	      25.00	      50.00	    -121.00	     100.00	    -100.00	       0.00	
 2020/07/28	  142.01	  142.45	  135.55	  137.60	        8574272	     148.47	     126.32	       1.95	       6.38	       0.00	      -8.85	       0.00	           	       0.00	           	       0.00	       1.95	           	       0.00	       0.00	      39.94	      39.94	      39.94	      75.00	      25.00	      50.00	    -112.94	     100.00	    -100.00	       0.00	
 2020/07/29	  138.60	  142.75	  137.19	  141.88	       12176985	     147.84	     126.58	       1.27	       5.36	       0.00	      -8.17	       0.00	           	       0.00	           	       0.00	       1.27	           	       0.00	       1.00	      44.69	      44.69	      44.69	      75.00	      25.00	      50.00	     -93.64	     100.00	    -100.00	       0.00	
 2020/07/30	  141.80	  141.80	  138.66	  138.87	        8099198	     146.99	     126.78	       0.48	       4.38	       0.00	      -7.80	       0.00	           	       0.00	           	       0.00	       0.48	           	       0.00	       0.00	      42.13	      42.13	      42.13	      75.00	      25.00	      50.00	     -85.55	     100.00	    -100.00	       0.00	
 2020/07/31	  139.90	  148.68	  139.21	  143.09	       14341023	     146.61	     127.05	       0.20	       3.54	       0.00	      -6.70	       0.00	           	       0.00	           	       0.00	           	           	       0.00	       1.00	      46.78	      46.78	      46.78	      75.00	      25.00	      50.00	     -34.99	     100.00	    -100.00	       0.00	
 2020/08/03	  146.50	  148.12	  143.01	  147.12	       12147799	     146.66	     127.38	       0.29	       2.89	       0.00	      -5.20	       0.00	           	       0.00	           	       0.00	           	           	       0.00	       0.00	      50.90	      50.90	      50.90	      75.00	      25.00	      50.00	       4.99	     100.00	    -100.00	       0.00	
 2020/08/04	  147.45	  150.73	  145.60	  146.86	       10160447	     146.68	     127.71	       0.34	       2.38	       0.00	      -4.08	       0.00	           	       0.00	           	       0.00	           	       0.34	       0.00	       1.00	      50.62	      50.62	      50.62	      75.00	      25.00	      50.00	      32.72	     100.00	    -100.00	       0.00	
 2020/08/05	  146.89	  149.45	  145.00	  147.05	        8705985	     146.72	     128.03	       0.39	       1.99	       0.00	      -3.19	       0.00	           	       0.00	           	       0.00	           	       0.39	       0.00	       0.00	      50.83	      50.83	      50.83	      75.00	      25.00	      50.00	      34.18	     100.00	    -100.00	       0.00	
